# ----------------------------------------
# kizunacare.com
# UTM Report - Non-Event Metrics-Free form 1
# 20250101-20250209
# ----------------------------------------

Date,Session source / medium,Session campaign,Session manual ad content,Session manual term,Sessions,Engaged sessions
20250129,ahrefs.com / referral,(referral),(not set),(not set),1,1
20250129,bing / organic,(organic),(not set),(not provided),1,1
20250129,duckduckgo / organic,(organic),(not set),(not set),1,1
20250129,search.google.com / referral,(referral),(not set),(not set),1,0
20250129,worldfreeads.com / referral,(referral),(not set),(not set),1,1
20250129,{{site_source_name}} / paid_social,2025_sf_leads_families,built,families_oginterest,1,1
20250129,{{site_source_name}} / paid_social,2025_sf_leads_families,compare,families_oginterest,1,1
20250130,(not set),(not set),(not set),(not set),1,0
20250130,bing / organic,(organic),(not set),(not provided),1,1
20250130,box4179.bluehost.com:2083 / referral,(referral),(not set),(not set),1,1
20250130,ecosia.org / organic,(organic),(not set),(not provided),1,1
20250130,hot-web-ads.com / referral,(referral),(not set),(not set),1,1
20250130,ig / paid_social,2025_sf_leads_families,compare,families_oginterest,1,0
20250130,instagram / paid_social,2025_sf_leads_families,compare,families_oginterest,1,0
20250130,kizuna-care-blogs.mystrikingly.com / referral,(referral),(not set),(not set),1,0
20250130,tagassistant.google.com / referral,(referral),(not set),(not set),1,1
20250130,{{site_source_name}} / paid_social,2025_sf_leads_families,built,families_oginterest,1,1
20250130,{{site_source_name}} / paid_social,2025_sf_leads_families,compare,families_oginterest,1,0
20250131,ahrefs.com / referral,(referral),(not set),(not set),1,0
20250131,facebook.com / referral,(referral),(not set),(not set),1,1
20250131,fb / paid_social,2025_sf_leads_families,compare,families_oginterest,1,1
20250131,google / cpc,(organic),(not set),(not provided),1,1
20250131,instagram / paid_social,2025_sf_leads_families,compare,families_oginterest,1,0
20250131,medium.com / referral,(referral),(not set),(not set),1,1
20250131,search.google.com / referral,(referral),(not set),(not set),1,1
20250131,teams.microsoft.com / referral,(referral),(not set),(not set),1,1
20250201,instagram / paid_social,2025_sf_leads_families,built,families_oginterest,1,0
20250201,instagram / paid_social,2025_sf_leads_families,embrace,families_oginterest,1,0
20250201,l.instagram.com / referral,(referral),(not set),(not set),1,1
20250201,search.google.com / referral,(referral),(not set),(not set),1,1
20250201,tagassistant.google.com / referral,(referral),(not set),(not set),1,1
20250201,yahoo / organic,(organic),(not set),(not provided),1,1
20250201,{{site_source_name}} / paid_social,2025_sf_leads_families,built,families_oginterest,1,0
20250202,ahrefs.com / referral,(referral),(not set),(not set),1,0
20250202,bing / organic,(organic),(not set),(not provided),1,1
20250202,google / cpc,(organic),(not set),(not provided),1,1
20250202,instagram / paid_social,2025_sf_leads_families,compare,families_oginterest,1,0
20250202,tagassistant.google.com / referral,(referral),(not set),(not set),1,1
20250202,{{site_source_name}} / paid_social,2025_sf_leads_families,built,families_oginterest,1,1
20250203,ig / paid_social,2025_sf_leads_families,compare,families_oginterest,1,0
20250203,instagram / paid_social,2025_sf_leads_families,compare,families_oginterest,1,0
20250203,instagram / paid_social,2025_sf_leads_families,embrace,families_oginterest,1,0
20250203,search.google.com / referral,(referral),(not set),(not set),1,1
20250203,tagassistant.google.com / referral,(referral),(not set),(not set),1,1
20250203,{{site_source_name}} / paid_social,2025_sf_leads_families,built,families_oginterest,1,1
20250204,adsmanager.facebook.com / referral,(referral),(not set),(not set),1,1
20250204,bing / organic,(organic),(not set),(not provided),1,1
20250204,box4179.bluehost.com:2083 / referral,(referral),(not set),(not set),1,0
20250204,google / cpc,(organic),(not set),(not provided),1,0
20250204,ig / cpc,Caregiver - Nov 6th Campaign,Impact,(not set),1,0
20250204,instagram / paid_social,2025_sf_leads_families,embrace,families_oginterest,1,0
20250204,teams.microsoft.com / referral,(referral),(not set),(not set),1,1
20250204,yahoo / organic,(organic),(not set),(not provided),1,1
20250205,bing / organic,(organic),(not set),(not provided),1,1
20250205,cbinsights.com / referral,(referral),(not set),(not set),1,0
20250205,console.harmonic.ai / referral,(referral),(not set),(not set),1,1
20250205,l.instagram.com / referral,(referral),(not set),(not set),1,1
20250205,marinij / email,(not set),(not set),(not set),1,1
20250205,search.google.com / referral,(referral),(not set),(not set),1,1
20250205,us.search.yahoo.com / referral,(referral),(not set),(not set),1,1
20250205,yahoo / organic,(organic),(not set),(not provided),1,1
20250206,ahrefs.com / referral,(referral),(not set),(not set),1,1
20250206,google / cpc,(organic),(not set),(not provided),1,1
20250206,instagram / paid_social,2025_sf_leads_families,embrace,families_oginterest,1,0
20250206,l.instagram.com / referral,(referral),(not set),(not set),1,1
20250206,lm.facebook.com / referral,(referral),(not set),(not set),1,1
20250206,marinij / email,(not set),(not set),(not set),1,1
20250206,medium.com / referral,(referral),(not set),(not set),1,1
20250206,teams.microsoft.com / referral,(referral),(not set),(not set),1,0
20250206,{{site_source_name}} / paid_social,2025_sf_leads_families,embrace,families_oginterest,1,1
20250207,(not set),(not set),(not set),(not set),1,0
20250207,ahrefs.com / referral,(referral),(not set),(not set),1,1
20250207,an / an,120213075935380406,120213076027950406,(not set),1,1
20250207,an / cpc,Caregiver - Nov 6th Campaign,Impact,(not set),1,0
20250207,bing / organic,(organic),(not set),(not provided),1,1
20250207,fb / paid_social,2025_sf_leads_families,embrace,families_oginterest,1,1
20250207,instagram / paid_social,2025_sf_leads_families,embrace,families_oginterest,1,0
20250207,lm.facebook.com / referral,(referral),(not set),(not set),1,1
20250207,marinij / email,(not set),(not set),(not set),1,1
20250207,search.google.com / referral,(referral),(not set),(not set),1,1
20250207,teams.microsoft.com / referral,(referral),(not set),(not set),1,0
20250207,yahoo / organic,(organic),(not set),(not provided),1,1
20250207,{{site_source_name}} / paid_social,2025_sf_leads_families,built,families_oginterest,1,1
20250207,{{site_source_name}} / paid_social,2025_sf_leads_families,embrace,families_oginterest,1,1
20250208,fb / cpc,Caregiver - Nov 6th Campaign,Respect,(not set),1,0
20250208,fb / paid_social,2025_sf_leads_families,built,families_oginterest,1,0
20250208,fb / paid_social,2025_sf_leads_families,compare,families_oginterest,1,1
20250208,google / cpc,(organic),(not set),(not provided),1,1
20250208,instagram / paid_social,2025_sf_leads_families,built,families_oginterest,1,1
20250208,{{site_source_name}} / paid_social,2025_sf_leads_families,built,families_oginterest,1,0
20250209,adsmanager.facebook.com / referral,(referral),(not set),(not set),1,1
20250209,ahrefs.com / referral,(referral),(not set),(not set),1,1
20250209,ca.search.yahoo.com / referral,(referral),(not set),(not set),1,1
20250209,fb / paid_social,2025_sf_leads_families,built,families_oginterest,1,0
20250209,fb / paid_social,2025_sf_leads_families,compare,families_oginterest,1,1
20250209,fb / paid_social,2025_sf_leads_families,embrace,families_oginterest,1,0
20250209,google / organic,(organic),(not set),(not provided),1,0
20250209,ig / paid_social,2025_sf_leads_families,built,families_oginterest,1,1
20250209,ig / paid_social,2025_sf_leads_families,compare,families_oginterest,1,0
20250209,lm.facebook.com / referral,(referral),(not set),(not set),1,0
20250209,search.google.com / referral,(referral),(not set),(not set),1,0
20250209,{{site_source_name}} / paid_social,2025_sf_leads_families,embrace,families_oginterest,1,1

